102,E,34,119,W,34
102,W,29,132,E,29
119,E,27,124,W,75
124,E,32,110,W,32
124,S,36,111,N,36
110,N,21,116,S,21
116,N,38,114,S,38
114,E,8,117,W,8
114,N,38,122,S,86
117,E,29,113,W,29
113,E,24,118,W,24
118,E,33,106,W,33
106,N,31,128,S,31
106,S,27,130,N,27
128,N,18,100,S,66
100,W,33,125,E,81
125,N,14,115,S,14
115,N,38,123,S,86
115,E,13,126,W,13
123,W,18,103,E,18
111,S,35,127,N,35
127,W,80,112,E,32
112,W,12,120,E,12
120,W,32,109,E,80
109,W,22,121,E,22
121,W,18,129,E,66
129,N,29,107,S,29
107,N,12,131,S,12
131,E,23,132,W,23
122,W,32,101,E,32
130,S,15,108,N,15
108,S,59,134,N,11
134,S,18,133,N,18
133,E,37,104,W,37
104,N,24,135,S,24
135,N,29,136,S,29
136,N,12,137,S,12
137,W,9,138,E,9
138,W,8,105,E,8
105,S,18,126,N,66
